               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/cells_mAP,metrics/cells_mAP_50
                 116,            0.052963,             0.39346,                   0,              0.8933,             0.78002,             0.87465,             0.52366,            0.058669,             0.86353,                   0,            0.006205,            0.006205,            0.006205,             0.52366,             0.87465
                 117,            0.054128,               0.395,                   0,             0.77258,              0.8587,              0.8681,             0.49788,             0.05811,             0.83295,                   0,            0.006172,            0.006172,            0.006172,             0.49788,              0.8681
                 118,             0.05192,             0.43576,                   0,             0.77258,              0.8587,              0.8681,             0.49788,             0.05811,              0.8324,                   0,            0.006139,            0.006139,            0.006139,             0.49788,              0.8681
                 119,            0.051739,              0.3839,                   0,             0.86239,             0.80435,             0.90163,             0.56279,            0.054691,              0.8136,                   0,            0.006106,            0.006106,            0.006106,             0.56279,             0.90163
                 120,            0.053326,             0.43478,                   0,             0.86239,             0.80435,             0.90163,             0.56279,            0.054691,             0.81372,                   0,            0.006073,            0.006073,            0.006073,             0.56279,             0.90163
                 121,            0.051569,             0.39298,                   0,             0.64254,             0.73913,             0.76475,             0.46644,            0.057343,             0.93494,                   0,             0.00604,             0.00604,             0.00604,             0.46644,             0.76475
                 122,            0.054031,             0.37927,                   0,             0.64254,             0.73913,             0.76475,             0.46644,            0.057343,             0.93518,                   0,            0.006007,            0.006007,            0.006007,             0.46644,             0.76475
                 123,            0.052861,             0.42495,                   0,             0.80815,             0.89907,             0.91166,             0.53809,            0.051258,             0.85895,                   0,            0.005974,            0.005974,            0.005974,             0.53809,             0.91166
                 124,            0.050642,               0.477,                   0,             0.80815,             0.89907,             0.91166,             0.53809,            0.051258,             0.85895,                   0,            0.005941,            0.005941,            0.005941,             0.53809,             0.91166
                 125,            0.043644,             0.33369,                   0,             0.66237,             0.74689,             0.77733,             0.44825,            0.054186,             0.78748,                   0,            0.005908,            0.005908,            0.005908,             0.44825,             0.77733
                 126,            0.050162,             0.42614,                   0,             0.66237,             0.74689,             0.77733,             0.44825,            0.054186,             0.78754,                   0,            0.005875,            0.005875,            0.005875,             0.44825,             0.77733
                 127,            0.050409,             0.40635,                   0,             0.86096,             0.88665,             0.92837,             0.58562,             0.05043,             0.81488,                   0,            0.005842,            0.005842,            0.005842,             0.58562,             0.92837
                 128,            0.044718,             0.36735,                   0,             0.86096,             0.88665,             0.92837,             0.58562,             0.05043,               0.815,                   0,            0.005809,            0.005809,            0.005809,             0.58562,             0.92837
                 129,            0.046808,             0.41857,                   0,             0.74866,             0.80941,             0.86141,             0.55589,            0.056273,             0.94312,                   0,            0.005776,            0.005776,            0.005776,             0.55589,             0.86141
                 130,            0.051106,             0.36456,                   0,             0.74866,             0.80941,             0.86141,             0.55589,            0.056273,             0.94299,                   0,            0.005743,            0.005743,            0.005743,             0.55589,             0.86141
                 131,            0.051172,             0.37545,                   0,             0.86194,             0.89907,                0.94,             0.59648,            0.049481,             0.82043,                   0,             0.00571,             0.00571,             0.00571,             0.59648,                0.94
                 132,            0.044003,             0.35663,                   0,             0.86194,             0.89907,                0.94,             0.59648,            0.049481,             0.82056,                   0,            0.005677,            0.005677,            0.005677,             0.59648,                0.94
                 133,            0.044341,             0.36239,                   0,             0.53124,             0.68323,             0.67668,             0.39324,             0.05876,             0.81946,                   0,            0.005644,            0.005644,            0.005644,             0.39324,             0.67668
                 134,            0.058819,             0.46735,                   0,             0.53124,             0.68323,             0.67668,             0.39324,             0.05876,             0.81958,                   0,            0.005611,            0.005611,            0.005611,             0.39324,             0.67668
